,Gene,fold_change,p_value,log2_fold_change
4682,Gm13710,3.284931087449602,0.014265304307094209,1.7158631054524633
4796,Gm15489,3.198339983891944,0.024171027884056565,1.6773233056113133
13323,Ypel2,3.130722801396989,0.0019725467778958857,1.6464957758819438
267,2810455O05Rik,3.102054524032368,0.00012015992112667049,1.633224044484834
11250,Smarca5-ps,2.98899531968552,0.025587506128583497,1.5796606379756004
1506,BC065397,2.957591474765533,0.03774461222395609,1.564422790086531
10085,Reg3b,2.9126477048286503,0.03015535775448162,1.5423312128984479
8287,Nfil3,2.8734684573113807,0.0027873660108565807,1.5227932124828003
1766,C330021F23Rik,2.8682529560952137,0.01372547259259544,1.52017226337433
12626,Tsc22d3,2.7962984702509517,0.001160885002392347,1.4835183587710712
6346,Hpgd,2.7923898640321663,0.015381791054926645,1.4815003798140314
12289,Tmem252,2.765795285039494,0.001029790485992034,1.4676943769554582
13152,Wdfy2,2.7525743686261483,0.0008895639541756184,1.4607815428264252
4657,Gm13421,2.6920575751265328,0.03915778686339987,1.428709265245883
319,4930404I05Rik,2.6896463131537076,0.010415311359611792,1.4274164717382969
8670,Ovgp1,2.6780241697734057,0.0441453277338573,1.4211689813697956
13229,Wisp3,2.6351295812331603,0.018512003978364,1.3978739074434776
4256,Gcg,2.6267143070697148,0.03672254445234422,1.393259295185092
6642,Irs2,2.621803743286257,0.007703967872108531,1.3905596957867272
6532,Il22ra1,2.6209137659933512,0.007994350527962832,1.390069886508604
5795,Gm9920,2.578731107773808,0.022242150477884873,1.366661346719272
737,Adap2,2.577147171942576,0.04114276371627383,1.3657749268634412
8070,N4bp2l1,2.5748322416004346,0.013273643858398285,1.3644784392491502
7423,Mdk,2.5730731494669365,0.013630097189561239,1.3634924717911445
12768,Txnip,2.527963501832625,0.019329493206298152,1.3379756343594829
9150,Plcd3,2.5184874654492524,0.0017104195186688014,1.332557550698619
1272,Aspa,2.4718862306369327,0.048642754593693036,1.3056123442645302
3846,Fam46b,2.453285899578734,0.03228370003346323,1.2947153716328343
678,Acot6,2.4067005128808256,0.0018217934461682214,1.267056625624793
3148,Dnajb13,2.389903550090238,0.027031626357643498,1.2569523961916806
11759,Sult1a1,2.3544014776248345,0.019949517853696534,1.2353603528281492
5208,Gm26808,2.3536284789107276,0.01772056061750863,1.234886608424748
1035,Aoc2,2.335275824610356,0.03234588212742315,1.223592959911959
8946,Pfkfb3,2.3091806400986887,0.041861592740668876,1.207381035121987
5351,Gm36989,2.2872349240896517,0.04962013208738619,1.193604553949382
3934,Fbxl22,2.2647728214361043,0.030612452705069848,1.1793663412979158
9344,Ppargc1a,2.248114788259065,0.03817285274166595,1.1687157011389855
3644,Errfi1,2.2345641215370438,0.012341685714297956,1.1599934439256836
8414,Npas2,2.2344659841293457,0.01463200268818339,1.159930082369334
